pollster,id,polls,aapor,banned,ppm,grade,bias,called,outMOE,avgErr,advPM,nBias,rawBias,house
Abt Associates,7,13,yes,no,-0.2347,A/B,0.6712,0.8846,0.1538,3.7846,-0.9295,12,2.95,0.6712
Pharos Research Group,254,33,no,yes,-0.2329,F,0.6783,0.9394,0.1515,3.7373,-1.1382,33,1.5621,0.6783
University of California Berkeley,457,8,yes,no,-0.2277,A/B,0.322,1,0.5,4.975,-0.29,5,1.616,0.322
Strategic Vision LLC,320,133,no,yes,-0.2178,F,-1.4143,0.8872,0.188,3.9245,-0.5497,110,-2.3188,-1.4143
GfK Group,115,21,yes,no,-0.2149,A/B,0.1864,0.881,0.1905,3.9019,-0.4222,21,0.6181,0.1864
Quinnipiac University,267,229,yes,no,-0.2111,B+,0.5851,0.8144,0.2664,4.7199,-0.1686,175,0.6926,0.5851
Dittman Research,79,10,no,no,-0.2061,A/B,0.8149,1,0.2,3.695,-3.2791,9,3.0789,0.8149
Temple University,336,6,yes,no,-0.2025,A/B,-0.1654,1,0.1667,3.6633,-1.7892,5,-2.456,-0.1654
Michigan State University,463,2,yes,no,-0.19,A/B,-0.0355,1,0,1.03,-6.9509,2,-0.53,-0.0355
Selzer,304,59,yes,no,-0.1812,B+,1.2679,0.7797,0.2712,5.7141,-0.0206,40,2.1168,1.2679
Franklin & Marshall College,106,25,yes,no,-0.1811,A/B,0.5606,0.88,0.2,5.952,-0.166,22,1.3945,0.5606
KRC Research,160,22,yes,no,-0.1791,A/B,0.0651,0.9091,0.4091,6.835,-0.3758,11,0.7191,0.0651
"Fabrizio, Lee & Associates",90,11,no,no,-0.1731,A/B,-0.3003,0.6818,0.0909,3.7209,-2.1906,11,-0.93,-0.3003
RKM Research and Communications Inc.,272,35,no,no,-0.1607,A/B,-0.1051,0.8714,0.2286,5.1669,-0.84,21,-0.4914,-0.1051
Florida Atlantic University/Mainstreet Research,770,25,no,no,-0.1523,B+,1.3607,0.74,0.16,8.6116,-1.0942,10,3.81,1.3607
North Star Opinion Research,233,13,no,no,-0.134,A/B,-0.627,0.7308,0.1538,4.2869,-2.1592,11,-2.0809,-0.627
Gallup,112,84,yes,no,-0.1244,B+,-0.5652,0.6905,0.3095,4.3827,0.1675,69,-1.0935,-0.5652
KAConsulting,757,12,no,no,-0.1118,A/B,-1.6653,0.9167,0.1667,4.5333,-1.5118,12,-4.4983,-1.6653
Public Religion Research Institute,428,1,yes,no,-0.1111,A/B,0.009,1,0,0.26,-4.0662,1,0.26,0.009
Saint Anselm College,494,14,no,no,-0.1107,A/B,-0.2755,0.8571,0.2857,4.1364,-0.9923,13,-0.7169,-0.2755
Vox Populi Polling,372,19,no,no,-0.1077,A/B,0.3303,0.7632,0.1579,3.9584,-1.0601,19,0.8921,0.3303
Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),261,2,yes,no,-0.1028,A/B,,1,0.5,6.94,-1.8337,0,,
Wirthlin Worldwide,387,4,yes,no,-0.1013,A/B,-0.1336,0.75,0.25,4.585,-2.0488,4,-3.935,-0.1336
University of Arkansas,345,10,yes,no,-0.094,A/B,0.8972,1,0.2,6.652,0.1873,9,3.7578,0.8972
Glengariff Group,117,16,no,no,-0.0932,A/B,0.8393,0.8125,0.25,4.4206,-1.2861,15,2.1507,0.8393
Belden Russonello,28,3,yes,no,-0.0851,A/B,0.0413,1,0.3333,3.9867,-1.123,3,1.1,0.0413
Indiana University,149,2,yes,no,-0.0845,A/B,0.0206,1,0,0.865,-5.0239,2,0.865,0.0206
Knowledge Networks,164,4,yes,no,-0.0813,A/B,0.2468,0.75,0.5,4.7975,-0.6942,4,4.6525,0.2468
Louis Harris & Associates,173,2,yes,no,-0.0668,A/B,0.0142,1,0,0.86,-4.5191,2,0.86,0.0142
RAND (American Life Panel),270,4,yes,no,-0.0609,A/B,0.1334,1,0.25,2.6725,0.0695,4,1.4325,0.1334
EPIC-MRA,84,58,no,no,-0.0521,B+,0.2197,0.7931,0.2241,5.8298,-0.7198,50,0.373,0.2197
Lake Research Partners,165,12,no,no,-0.0505,A/B,0.6525,0.8333,0.25,4.0583,-1.5843,12,2.5483,0.6525
University of Florida,349,1,yes,no,-0.0451,A/B,0.028,0.5,0,1.07,-1.4456,1,1.07,0.028
Ohio State University,236,1,yes,no,-0.0413,A/B,-0.0354,1,0,3.67,-1.1021,1,-3.67,-0.0354
Gordon S. Black Corp.,123,2,yes,no,-0.0411,A/B,-0.1053,1,0.5,6.36,-0.4488,2,-6.36,-0.1053
InsiderAdvantage,243,208,no,no,-0.0379,B+,0.3181,0.7091,0.3269,6.103,-0.1541,120,0.3682,0.3181
Rasmussen Reports,277,797,no,no,-0.0255,B+,-1.3521,0.7792,0.2823,5.0603,-0.1301,654,-1.4296,-1.3521
Pew Research Center,253,25,yes,no,-0.0231,A/B,0.6314,0.5,0.36,4.4144,0.4504,25,2.084,0.6314
Public Policy Polling,263,468,no,no,-0.0119,B+,0.878,0.7991,0.3162,5.1613,-0.0263,339,0.9693,0.878
Pan Atlantic Research,249,17,no,no,-0.0101,A/B,0.6109,0.9412,0.2353,6.2688,-1.4273,15,2.6487,0.6109
Polling Company/Global Strategy Group,255,4,yes,no,-0.0039,A/B,-0.1612,0.25,0.25,4.3,0.8379,4,-4.3,-0.1612
GQR Research/Public Opinion Strategies,222,1,yes,no,-0.0032,A/B,0.0999,0,1,8.98,2.5254,1,8.98,0.0999
Harvard University,135,1,yes,no,-0.0013,A/B,0.0761,0,0,6.84,0.2547,1,6.84,0.0761
Fleming & Associates,96,18,no,no,0.008,B/C,-0.4845,1,0.1111,5.1589,-1.6814,16,-1.8431,-0.4845
RRH Elections,274,15,no,no,0.0096,B/C,-0.2589,0.8333,0.2,4.5133,-1.1183,14,-0.7214,-0.2589
WPA Intelligence,383,20,no,no,0.0175,B/C,-0.8039,0.675,0.4,6.783,-0.4208,18,-2.11,-0.8039
Florida Atlantic University,97,9,no,no,0.0276,B/C,0.512,0.6667,0,3.6389,-1.7286,5,3.436,0.512
Leger,572,13,no,no,0.0278,B/C,0.2543,0.8846,0,2.8215,-1.9005,12,0.8167,0.2543
University of Cincinnati (Ohio Poll),346,39,no,no,0.0467,B/C,-1.0886,0.9359,0.2308,4.1985,-0.8197,30,-3.2057,-1.0886
SEA Polling & Strategic Design,302,14,no,no,0.0524,B/C,0.451,0.8571,0,2.9593,-1.607,10,2.169,0.451
Harper Polling,132,14,no,no,0.0539,B/C,0.3924,0.7857,0.1429,3.7414,-1.1882,11,1.4764,0.3924
Research Co.,449,85,no,no,0.0612,B,1.4297,0.8706,0.0941,4.2348,-1.2052,84,1.7848,1.4297
Harstad Strategic Research,134,11,no,no,0.0697,B/C,0.49,0.7727,0.0909,3.7155,-2.0293,11,2.6773,0.49
Blueprint Polling,470,8,no,no,0.0722,B/C,-0.5218,1,0,3.8175,-0.7742,8,-1.7325,-0.5218
Praecones Analytica,257,5,no,no,0.074,B/C,-0.1083,0.4,0,2.836,-3.2082,5,-0.596,-0.1083
East Carolina University,523,18,yes,no,0.0746,B/C,1.3153,0.75,0.3333,6.15,0.1297,15,3.134,1.3153
New England College Polling Center,228,19,no,no,0.0761,B/C,-1.0287,0.7368,0.1579,4.1916,-0.6097,19,-3.1379,-1.0287
Ciruli Associates,51,20,no,no,0.0795,B/C,-0.5303,0.95,0.05,3.6245,-1.6311,20,-2.1895,-0.5303
Clemson University,54,8,no,no,0.0796,B/C,0.0232,1,0.5,10.055,-3.8995,2,1.25,0.0232
J.L. Partners,619,10,no,no,0.0865,B/C,0.3911,1,0.2,4.292,-0.8432,8,1.33,0.3911
Mellman Group,205,28,no,no,0.0925,B/C,1.6941,0.8393,0.1429,4.8346,-0.5762,28,4.1782,1.6941
St. Norbert College,313,12,no,no,0.0948,B/C,-0.0086,0.875,0.0833,4.7983,-1.9005,11,-0.0491,-0.0086
Strategies 360,321,9,no,no,0.099,B/C,1.1512,0.6667,0.2222,5.8589,-1.1865,9,4.6811,1.1512
Blum & Weprin Associates,32,19,no,no,0.1032,B/C,-0.5461,0.9474,0.2105,4.7384,-2.1302,17,-3.4241,-0.5461
Lee Business School (University of Nevada Las Vegas),609,5,no,no,0.1038,B/C,0.1414,0.6,0.2,3.198,-2.3433,5,0.822,0.1414
YouGov,391,521,no,no,0.1114,B,1.0791,0.8503,0.3282,5.0568,-0.0112,458,1.1517,1.0791
Ward Research,375,15,no,no,0.1148,B/C,-0.3278,0.8,0.3333,5.8513,-1.5882,15,-1.3807,-0.3278
Landmark Communications/Rosetta Stone Communications,751,11,no,no,0.1168,B/C,1.0475,1,0,3.9636,-1.0297,8,4.97,1.0475
Middle Tennessee State University,208,5,yes,no,0.136,B/C,0.4257,1,0.6,9.296,1.6817,4,4.5875,0.4257
Civiqs,471,43,no,no,0.1414,B,2.8279,0.814,0.3488,5.2177,0.1255,39,4.4551,2.8279
University of Georgia,350,7,no,no,0.1433,B/C,0.0504,0.5714,0.2857,3.3729,-1.7089,7,0.2214,0.0504
Research 2000,281,278,no,yes,0.1456,F,1.1919,0.8813,0.2158,5.4651,-0.1097,248,1.4991,1.1919
Clarity Campaign Labs,52,16,no,no,0.1481,B/C,1.2307,0.4688,0.25,3.8625,-0.3945,16,3.1837,1.2307
Yankelovich Partners Inc.,390,7,yes,no,0.164,B/C,-0.0285,0.5,0.5714,10.1886,3.1605,3,-1.0733,-0.0285
Trafalgar Group,338,143,no,no,0.1766,B,-1.881,0.6783,0.2937,4.2944,0.1773,124,-2.207,-1.881
Wick,284,16,no,no,0.1794,B/C,-1.1946,0.625,0.25,4.1675,0.0101,16,-2.85,-1.1946
Keating Research,161,6,no,no,0.1916,B/C,0.1691,0.8333,0,2.1983,-2.2523,6,0.9583,0.1691
RMG Research,555,28,no,no,0.1969,B,3.2478,0.75,0.4643,5.9146,-0.0517,28,5.9146,3.2478
Ipsos,154,116,yes,no,0.1985,B,1.8926,0.6552,0.1983,4.6437,-0.128,109,2.3619,1.8926
co/efficient,514,24,no,no,0.2018,B,-2.6915,0.6875,0.4167,5.4933,-0.0733,24,-5.0083,-2.6915
Redfield & Wilton Strategies,562,45,yes,no,0.2075,B,2.2802,0.7444,0.2222,3.5544,-0.1312,45,3.23,2.2802
Starboard Communications,316,4,no,no,0.2146,B/C,0.2899,1,0,2.1625,-6.4488,3,2.8433,0.2899
Strategic National,318,4,no,no,0.2369,B/C,0.3429,0.375,0.25,3.025,-3.3434,4,2.655,0.3429
GBAO,109,14,no,no,0.239,B/C,1.3601,0.7857,0.2857,5.44,-0.2881,14,3.8657,1.3601
Big Village,37,107,no,no,0.2426,B,0.2194,0.7009,0.2617,5.6444,0.2686,75,0.3349,0.2194
Pasquines,552,4,no,no,0.2496,B/C,0.0588,1,0,5.37,-1.1613,1,1.0,0.0588
Ragnar Research Partners,517,3,no,no,0.2531,B/C,0.2446,1,0.3333,3.4,-3.159,3,1.9733,0.2446
RBI Strategies & Research,271,4,no,no,0.2608,B/C,0.2799,1,0,2.37,-2.1242,3,2.5167,0.2799
Impact Research,14,22,no,no,0.2654,B/C,1.3206,0.6136,0.3182,6.0727,0.0645,22,3.3318,1.3206
CVOTER,40,6,no,no,0.2702,B/C,-0.1886,1,0,1.865,-1.5419,6,-1.3217,-0.1886
Patriot Polling,732,22,no,no,0.2845,B,-0.4019,0.7273,0.1818,2.7532,-0.4911,22,-0.7441,-0.4019
Market Shares Corp.,187,25,no,no,0.2906,B/C,-0.8969,0.84,0.28,5.8308,-0.5631,22,-4.0909,-0.8969
Benenson Strategy Group,30,12,no,no,0.2914,B/C,1.0424,0.7083,0.25,6.1208,-0.4177,12,4.5792,1.0424
Spry Strategies,508,5,no,no,0.2926,B/C,-0.3523,0.8,0.8,9.554,-0.9248,2,-4.835,-0.3523
ROI Rocket,554,3,no,no,0.2937,B/C,,1,0.3333,2.65,-4.1623,0,,
Cardinal Point Analytics (CardinalGPS),591,3,no,no,0.2937,B/C,-0.2757,1,0,2.4867,-2.0996,3,-2.4867,-0.2757
Optimus Analytics,245,17,yes,no,0.2948,B/C,-0.4757,0.8235,0.5882,6.7982,1.3266,14,-1.5229,-0.4757
State Navigate,9050,2,no,no,0.3066,B/C,-0.2519,1,0,2.36,-4.7796,2,-2.36,-0.2519
University of South Alabama,361,9,no,no,0.311,B/C,-0.3297,1,0.1111,3.6889,-1.871,9,-2.9422,-0.3297
Lucid,175,25,no,no,0.3116,B/C,1.6664,0.88,0.32,4.1496,0.3607,25,3.7952,1.6664
Frederick Polls,108,8,no,no,0.3266,B/C,0.5504,0.5,0,3.6025,-0.8456,7,2.3429,0.5504
Axis Research,467,2,no,no,0.3274,B/C,-0.095,0.5,0,1.55,-5.7762,2,-0.95,-0.095
"Fabrizio, Lee & Associates/GBAO",796,2,no,no,0.3274,B/C,-0.11,1,0,1.1,-2.7542,2,-1.1,-0.11
Edgewater Research/My People Vote,530,3,no,no,0.3334,B/C,-0.0452,1,0,1.9533,-2.3688,2,-0.66,-0.0452
Kiley & Company,162,5,no,no,0.3353,B/C,0.3093,1,0.4,4.352,-1.7672,5,2.936,0.3093
University of Washington,364,9,no,no,0.3367,B/C,0.0423,1,0,3.6233,-1.6776,9,0.2789,0.0423
Maine People's Resource Center,180,14,no,no,0.3441,B/C,0.1034,0.9286,0.2143,5.7893,0.0091,12,0.4167,0.1034
RT Strategies,275,45,no,no,0.3462,B/C,0.8358,0.6667,0.3778,5.9004,0.3816,45,2.0702,0.8358
David Binder Research,578,3,no,no,0.3513,B/C,0.0734,0.3333,0.3333,4.2333,-1.4809,1,1.84,0.0734
Louisville Courier-Journal,174,10,no,no,0.3558,B/C,-0.1725,0.8,0.1,3.536,-1.6751,10,-1.514,-0.1725
Ogden & Fry,425,3,no,no,0.356,B/C,-0.01,1,0,2.5233,-3.426,2,-0.23,-0.01
Riley Research Associates,290,7,no,no,0.3588,B/C,-0.0557,1,0,2.6914,-2.4534,7,-0.62,-0.0557
Market Research Institute Inc.,186,11,no,no,0.3595,B/C,0.0769,1,0.2727,4.2009,-1.5847,11,0.6464,0.0769
BSP Research/Shaw & Company Research,728,2,no,no,0.3657,B/C,-0.0679,0.75,0,0.775,-4.0659,2,-0.775,-0.0679
Schoen Cooperman Research,301,2,no,no,0.3756,B/C,-0.0186,1,0,2.02,-4.3737,2,-0.22,-0.0186
Gravis Marketing/Kaplan Strategies,124,158,no,no,0.3794,B-,1.3018,0.712,0.3101,5.145,0.3706,129,1.5983,1.3018
Iowa State University,153,3,no,no,0.3897,B/C,,0.6667,0.3333,6.1133,-4.2381,0,,
DFM Research,69,10,no,no,0.3898,B/C,1.2201,0.75,0.4,6.441,-0.4755,10,5.441,1.2201
Tufts University,666,3,no,no,0.3934,B/C,0.3729,0.3333,0,2.9067,-1.7505,3,2.9067,0.3729
McKeon & Associates,202,3,no,no,0.3939,B/C,0.1473,0.6667,0.3333,2.91,-4.9229,2,3.03,0.1473
Financial Dynamics,95,15,no,no,0.394,B/C,-0.3382,1,0.0667,3.138,-0.6652,15,-1.6447,-0.3382
Latino Decisions,482,2,no,no,0.3996,B/C,0.1744,1,0,3.49,-3.903,1,4.37,0.1744
Alabama State University,8,4,no,no,0.4,B/C,,0.5,0.5,6.4025,-2.4488,0,,
Richard Day Research,287,11,no,no,0.4003,B/C,-0.3471,1,0.3636,5.5227,-0.8847,11,-2.9064,-0.3471
Tulchin Research,340,3,no,no,0.4006,B/C,-0.0642,0.6667,0,3.76,-2.5915,3,-0.84,-0.0642
Keating Research/OnSight Public Affairs/Melanson,455,3,no,no,0.4156,B/C,-0.0869,1,0,1.9333,-2.2023,3,-0.8133,-0.0869
BK Strategies,20,3,no,no,0.4269,B/C,0.3125,0.6667,0.6667,3.8033,-1.6366,3,3.6633,0.3125
University of New Orleans,358,13,no,no,0.4272,B/C,0.2677,0.9231,0.3077,5.5938,0.3177,12,1.0917,0.2677
Orion Strategies,246,4,no,no,0.4277,B/C,0.0808,1,0.25,3.205,-4.6439,3,1.5267,0.0808
Cherry Communications,49,8,no,no,0.4283,B/C,0.3564,0.6875,0.375,7.6475,0.2677,7,1.47,0.3564
Zogby Analytics,395,495,no,no,0.4319,B-,-0.5911,0.7758,0.3051,5.5248,0.4665,396,-0.6901,-0.5911
Winthrop University,386,3,yes,no,0.432,B/C,0.0031,1,0.6667,13.25,4.1035,1,0.14,0.0031
John Zogby Strategies,583,4,no,no,0.4328,B/C,0.3868,0.5,0,2.7075,-0.4936,4,2.3375,0.3868
GS Strategy Group,478,2,no,no,0.4348,B/C,-0.3349,1,0.5,5.12,-2.816,2,-5.12,-0.3349
DCCC,68,10,no,no,0.4353,B/C,1.597,0.45,0.3,6.965,0.1357,10,5.043,1.597
JMC Analytics,156,13,no,no,0.436,B/C,-0.6492,0.8846,0.1538,5.7031,0.4459,13,-2.1169,-0.6492
OpinionWorks,244,7,no,no,0.4362,B/C,-0.4816,0.9286,0.4286,6.4814,-0.0953,7,-2.8643,-0.4816
IVR Polls,146,4,no,no,0.4387,B/C,,1,0.25,4.065,-1.9569,0,,
Quantus Insights,859,9,no,no,0.4427,B/C,-1.0483,0.7778,0.3333,4.3578,0.1509,9,-3.0911,-1.0483
OnPoint,240,6,no,no,0.4447,B/C,0.0195,1,0,2.5717,-1.9727,6,0.235,0.0195
Focaldata,837,9,no,no,0.4461,B/C,1.3037,0.5,0.2222,3.9111,0.5287,9,3.9111,1.3037
MSR Group,178,6,no,no,0.4462,B/C,0.0802,1,0.1667,5.4167,-1.706,6,1.1767,0.0802
Marshall Marketing,196,4,no,no,0.4487,B/C,-0.1616,1,0,3.45,-1.9469,3,-3.0633,-0.1616
Google Consumer Surveys,122,24,yes,no,0.4493,B/C,-0.0756,0.9167,0.375,5.3375,1.6299,24,-0.1892,-0.0756
Southern Media & Opinion Research,310,7,no,no,0.4512,B/C,0.0728,1,0.2857,6.9429,-0.1623,7,0.4943,0.0728
Wiese Research Associates,382,7,no,no,0.4529,B/C,0.7429,1,0.4286,7.3343,-0.237,7,5.3857,0.7429
High Point University,139,5,yes,no,0.4538,B/C,0.0027,0.8,0.4,9.458,3.2533,2,0.095,0.0027
Master Image,200,2,no,no,0.4561,B/C,,1,0,0.95,-4.0398,0,,
Douglas Fulmer & Associates,82,2,no,no,0.4561,B/C,,1,0.5,5.045,-3.1037,0,,
Meeting Street Insights,204,5,no,no,0.4579,B/C,0.5458,0.4,0,4.12,-0.9676,4,4.06,0.5458
AYTM,635,4,no,no,0.4588,B/C,0.5167,0.75,0,3.625,-1.4364,4,3.625,0.5167
Global Strategy Group,118,26,no,no,0.4597,B/C,1.611,0.6538,0.2308,6.2888,0.5372,26,4.3365,1.611
Missouri State University,212,3,no,no,0.4612,B/C,0.2341,0.6667,0,4.3667,-2.982,3,4.1133,0.2341
Dan Jones & Associates,70,40,no,no,0.4622,B/C,0.7561,0.95,0.15,6.0762,0.7238,35,1.7989,0.7561
The Washington Post/George Mason University Schar School of Policy and Government,754,1,no,no,0.4628,B/C,-0.1894,1,0,3.36,-3.2524,1,-3.36,-0.1894
Northern Arizona University,234,4,no,no,0.4671,B/C,-0.1827,1,0.25,3.5825,-3.1753,4,-3.3225,-0.1827
Harris Insights & Analytics,133,193,no,no,0.4673,B-,-1.049,0.8264,0.4663,5.0222,0.4999,193,-1.2267,-1.049
MWR Strategies,617,2,no,no,0.4693,B/C,-0.0262,0.5,0,1.79,-1.4087,2,-0.39,-0.0262
PSB Research,250,19,no,no,0.4708,B/C,1.8895,0.6316,0.4211,7.7542,0.4736,19,6.9542,1.8895
Potomac Incorporated,256,8,no,no,0.4725,B/C,-0.2292,0.875,0.125,4.7337,-1.1472,6,-3.1383,-0.2292
Torchlight Strategies,745,1,no,no,0.4744,B/C,,1,0,0.9,-4.91,0,,
Gotham Polling & Analytics,878,1,no,no,0.4744,B/C,-0.1684,0,0,3.2,-4.2238,1,-3.2,-0.1684
M3 Strategies,838,1,no,no,0.4744,B/C,-0.1632,1,0,3.1,-2.0605,1,-3.1,-0.1632
Basswood Research,24,4,no,no,0.4753,B/C,-0.1587,0.75,0.5,8.0525,-0.911,2,-8.71,-0.1587
University of Wisconsin (Madison),365,8,yes,no,0.4779,B/C,0.5344,0.875,0.375,12.7788,4.6017,7,5.9943,0.5344
APC Research,4,2,no,no,0.4794,B/C,0.1291,1,0,2.53,-3.5628,2,2.53,0.1291
Voter/Consumer Research,371,8,no,no,0.4831,B/C,-0.0729,1,0.375,4.9662,-1.4964,8,-0.5788,-0.0729
CJ&N,63,3,no,no,0.4849,B/C,0.0703,1,0.3333,4.4467,-1.8196,1,3.25,0.0703
Stetson University,730,4,no,no,0.4871,B/C,1.3666,1,0.5,7.9275,-0.7022,4,7.9275,1.3666
El Nuevo DÃ­a/The Research Office,599,4,no,no,0.4877,B/C,,0.75,0.25,4.1175,0.1965,0,,
